year,trawl,halibut,dogfish_lingcod,hook_line_rockfish,total_t
1918,0,3.4,4.9,8.8,17.1
1919,0,8.5,12,22,42.5
1920,0,4.3,6,11,21.3
1921,0,3.7,5.2,9.5,18.4
1922,0,4.6,6.5,12,23.1
1923,0,4.5,6.3,11,21.8
1924,0,5.1,7.2,13,25.3
1925,0,4.4,6.2,11,21.6
1926,0,5,7.1,13,25.1
1927,0,5,7.1,13,25.1
1928,0,5.1,7.3,13,25.4
1929,0,6.7,9.5,17,33.2
1930,0,6,8.6,16,30.6
1931,0,4,5.6,10,19.6
1932,0,4.5,6.4,12,22.9
1933,0,2.2,3.1,5.7,11
1934,0,2.6,3.7,6.7,13
1935,0,3.3,4.7,8.6,16.6
1936,0,3.6,5.1,9.3,18
1937,0,2.8,4,7.3,14.1
1938,0,10,14,25,49
1939,0,1.9,2.7,4.8,9.4
1940,0,2,2.9,5.3,10.2
1941,0,1.3,1.8,3.2,6.3
1942,0,2.9,4.1,7.5,14.5
1943,0,17,24,43,84
1944,0,25,36,64,125
1945,0,27,38,69,134
1946,0,18,26,46,90
1947,0,5.8,8.1,15,28.9
1948,0,8.8,12,23,43.8
1949,0,12,17,30,59
1950,0,5,7,13,25
1951,0,3.6,5.1,9.3,18
1952,0,2.8,3.9,7.1,13.8
1953,0,5.8,8.3,15,29.1
1954,0,3.6,5.1,9.3,18
1955,0,3.6,5.1,9.2,17.9
1956,0,3.4,4.8,8.8,17
1957,0,5.9,8.4,15,29.3
1958,0,8.6,12,22,42.6
1959,0,8.8,13,23,44.8
1960,0,7.2,10,18,35.2
1961,0,5.3,7.6,14,26.9
1962,0,8.6,12,22,42.6
1963,0,6.6,9.3,17,32.9
1964,0,4,5.6,10,19.6
1965,0,3.6,5.1,9.2,17.9
1966,0,2.9,4.1,7.4,14.4
1967,0,4.5,6.3,11,21.8
1968,0,4.8,6.8,12,23.6
1969,0,5.6,7.9,14,27.5
1970,0,6.8,10,18,34.8
1971,0,5.8,8.3,15,29.1
1972,0,6.5,9.1,17,32.6
1973,0,7.9,11,20,38.9
1974,0,3.9,5.5,10,19.4
1975,0,3.1,4.4,8,15.5
1976,0,3.8,5.4,10,19.2
1977,0.1,11,15,27,53.1
1978,0.2,12,17,31,60.2
1979,0,19,27,49,95
1980,0,14,20,36,70
1981,0,16,23,42,81
1982,5.9,22,14,13,54.9
1983,7.9,23,14,6.6,51.5
1984,30,27,8.4,9.4,74.8
1985,68,34,7.6,10,119.6
1969,0.04,0,0,0,0.04
1977,0.1,0,0,0,0.1
1978,0.18,0,0,0,0.18
1979,0.02,0,0,0,0.02
1980,0,0,0,0,0
1983,0.03,0,0,0,0.03
1984,0,0,0,0,0
1986,0,0,0,157.89,157.89
1987,0.35,0,0,97.73,98.08
1988,0.01,0,0,128.31,128.32
1989,0.01,0,0,119.42,119.43
1990,0,0,0,128.53,128.53
1991,0,0,0,60.63,60.63
1992,0,0,0,25.55,25.55
1993,0.01,0,0,41.59,41.6
1994,0.36,0,0,88.81,89.17
1995,0.05,0.65,0,34.24,34.94
1996,0.04,1.27,0.06,25.22,26.59
1997,0,2.44,0.05,23.09,25.58
1998,0.01,6.34,0.23,29.04,35.62
1999,0,1.57,0.07,23.04,24.68
2000,0,0.44,0,26.79,27.23
2001,0.01,0.83,0.21,23.23,24.28
2002,0,0.02,0.03,3.32,3.37
2003,0.01,0,1.48,3.51,5
2004,0,0.19,1.77,2.08,4.04
2005,0,0.02,3.45,2.23,5.7
2006,0,0.49,2.22,1.06,3.77
2007,0.01,1.74,2.43,3.34,7.52
2008,0,2.26,2.8,4.4,9.46
2009,0,0.93,2.85,2.67,6.45
2010,0,1.12,2.56,2.84,6.52
2011,0,1.26,1.48,4,6.74
2012,0,1.23,1.26,2.61,5.1
2013,0,0.28,1.34,3.51,5.13
2014,0,1.03,0.55,3.48,5.06
2015,0,0.19,1.8,3.51,5.5
2016,0.04,0.49,0.62,3.18,4.33
2017,0.01,1.26,0,5.75,7.02
2018,0.02,0.29,0,2.42,2.73
2019,0,0.07,0.01,2.71,2.79
2020,0.01,0,0,0.32,0.33
