survey_series_id,survey_series_desc,survey_id,survey_desc,year,fishing_event_id,latitude,longitude,fe_end_deployment_time,fe_begin_retrieval_time,grouping_code,grouping_desc,grouping_depth_id,depth_m,fe_bottom_water_temperature,hook_code,skate_count,lglsp_hook_count,area_swept_km2,ye_count,dogfish_count
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369479,49.185333,-123.301833,10/18/1986 8:45,10/18/1986 10:42,329,SoG Dogfish 56 - 110 m,2,70,NA,3,NA,500,0.011148365,NA,103
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369481,49.203166,-123.346166,10/18/1986 12:17,10/18/1986 15:05,331,SoG Dogfish 166 - 220 m,4,188,NA,3,NA,500,0.011148365,NA,185
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369484,49.397166,-123.676,10/19/1986 7:36,10/19/1986 9:56,331,SoG Dogfish 166 - 220 m,4,174,NA,3,NA,500,0.011148365,NA,92
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369491,49.3625,-124.320833,10/20/1986 9:54,10/20/1986 12:40,330,SoG Dogfish 111 - 165 m,3,124,NA,3,NA,500,0.011148365,NA,86
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369493,49.359166,-124.2925,10/20/1986 13:20,10/20/1986 16:35,332,SoG Dogfish > 220 m,5,225,NA,3,NA,500,0.011148365,NA,57
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369500,49.483,-124.660166,10/21/1986 15:53,10/21/1986 18:13,329,SoG Dogfish 56 - 110 m,2,97,NA,3,NA,500,0.011148365,10,17
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369501,49.635666,-124.641166,10/22/1986 7:31,10/22/1986 9:48,329,SoG Dogfish 56 - 110 m,2,101,NA,3,NA,500,0.011148365,NA,186
76,Strait of Georgia Dogfish Longline,453,2014 Strait of Georgia Dogfish Longline Survey,2014,3420650,49.981766,-125.08665,10/4/2014 9:12,10/4/2014 11:11,332,SoG Dogfish > 220 m,5,236,NA,1,2,300,0.006689019,NA,196
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369506,49.674666,-124.623166,10/22/1986 15:02,10/22/1986 17:20,332,SoG Dogfish > 220 m,5,265,NA,3,NA,500,0.011148365,NA,78
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369508,49.75,-124.932166,10/23/1986 9:22,10/23/1986 12:15,328,SoG Dogfish 0 - 55 m,1,22,NA,3,NA,500,0.011148365,NA,140
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369510,49.819333,-124.886666,10/23/1986 14:10,10/23/1986 16:32,332,SoG Dogfish > 220 m,5,245,NA,3,NA,500,0.011148365,NA,133
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369514,49.968833,-125.135333,10/24/1986 9:01,10/24/1986 11:32,330,SoG Dogfish 111 - 165 m,3,137,NA,3,NA,500,0.011148365,NA,168
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369516,49.986666,-125.091833,10/24/1986 12:33,10/24/1986 15:00,331,SoG Dogfish 166 - 220 m,4,220,NA,3,NA,500,0.011148365,NA,71
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369524,49.700666,-124.302833,10/27/1986 11:38,10/27/1986 14:00,331,SoG Dogfish 166 - 220 m,4,209,NA,3,NA,500,0.011148365,1,84
76,Strait of Georgia Dogfish Longline,498,1986 Strait of Georgia Dogfish Longline Survey,1986,3369526,49.7095,-124.310333,10/27/1986 14:38,10/27/1986 17:22,332,SoG Dogfish > 220 m,5,227,NA,3,NA,500,0.011148365,NA,57
76,Strait of Georgia Dogfish Longline,503,2011 Strait of Georgia Dogfish Longline Survey,2011,4356153,49.981316,-125.101966,10/9/2011 9:13,10/9/2011 11:13,329,SoG Dogfish 56 - 110 m,2,95,NA,1,2,300,0.006689019,NA,144
76,Strait of Georgia Dogfish Longline,503,2011 Strait of Georgia Dogfish Longline Survey,2011,4356156,49.873666,-124.75,10/10/2011 8:02,10/10/2011 10:00,329,SoG Dogfish 56 - 110 m,2,80,NA,1,2,300,0.006689019,NA,73
76,Strait of Georgia Dogfish Longline,503,2011 Strait of Georgia Dogfish Longline Survey,2011,4356146,49.375116,-124.327716,10/7/2011 8:49,10/7/2011 10:49,331,SoG Dogfish 166 - 220 m,4,194,NA,1,2,300,0.006689019,NA,181
76,Strait of Georgia Dogfish Longline,453,2014 Strait of Georgia Dogfish Longline Survey,2014,3420651,49.997266,-125.101066,10/4/2014 12:36,10/4/2014 14:36,331,SoG Dogfish 166 - 220 m,4,186,NA,1,2,300,0.006689019,NA,208
76,Strait of Georgia Dogfish Longline,453,2014 Strait of Georgia Dogfish Longline Survey,2014,3420658,49.783666,-124.836416,10/3/2014 9:43,10/3/2014 11:43,332,SoG Dogfish > 220 m,5,236,NA,1,2,300,0.006689019,NA,193
76,Strait of Georgia Dogfish Longline,453,2014 Strait of Georgia Dogfish Longline Survey,2014,3420660,49.797,-124.92635,10/3/2014 13:45,10/3/2014 15:45,329,SoG Dogfish 56 - 110 m,2,91,NA,1,2,300,0.006689019,1,186
76,Strait of Georgia Dogfish Longline,453,2014 Strait of Georgia Dogfish Longline Survey,2014,3420668,49.191866,-123.2989,10/10/2014 14:15,10/10/2014 16:15,329,SoG Dogfish 56 - 110 m,2,67,NA,1,2,300,0.006689019,NA,NA
76,Strait of Georgia Dogfish Longline,453,2014 Strait of Georgia Dogfish Longline Survey,2014,3420672,49.367116,-123.725433,10/11/2014 8:36,10/11/2014 10:34,331,SoG Dogfish 166 - 220 m,4,183,NA,1,2,299,0.006666722,NA,186
